id,japanese,hiragana,kanji_references,romaji,english,category,jlpt_level,example_japanese,example_english,notes,part_of_speech,part_of_speech_references,frequency,pitch_accent
voc1051,光,ひかり,k0264,hikari,light,nature,N3,太陽の光は温かい。,The light of the sun is warm.,,noun,,very high,LHL
voc1052,光る,ひかる,k0264,hikaru,to shine; to gleam,action,N3,星が夜空に光っている。,The stars are shining in the night sky.,,verb,,high,LHL
voc1053,観光,かんこう,k0264,kanko,sightseeing; tourism,action,N3,観光で日本を訪れた。,I visited Japan for sightseeing.,,noun,,very high,LHL
voc1054,太い,ふとい,k0265,futoi,thick; fat,description,N3,あの木はとても太い。,That tree is very thick.,,adjective,,very high,LHL
voc1055,太る,ふとる,k0265,futoru,to gain weight,health,N3,最近少し太ってしまった。,I've gained a little weight lately.,,verb,,very high,LHL
voc1056,太陽,たいよう,k0265,taiyo,sun,nature,N3,太陽が東から昇る。,The sun rises in the east.,,noun,,very high,LHHL
voc1057,顔,かお,k0266,kao,face,body,N3,彼女の顔はとてもきれいだ。,Her face is very beautiful.,,noun,,very high,LH
voc1058,顔色,かおいろ,k0266,kaoiro,complexion; facial expression,body,N3,顔色が悪い。大丈夫ですか？,You look pale. Are you okay?,,noun,,high,LHHL
voc1059,笑顔,えがお,k0266,egao,smiling face,feeling,N3,彼女の笑顔は周りを明るくする。,Her smile brightens those around her.,,noun,,high,LHL
voc1060,薬,くすり,k0267,kusuri,medicine; drug,health,N3,この薬を一日三回飲んでください。,Please take this medicine three times a day.,,noun,,very high,LHL
voc1061,薬局,やっきょく,k0267,yakkyoku,pharmacy,place,N3,薬局で薬を買った。,I bought medicine at the pharmacy.,,noun,,very high,LHHL
voc1062,薬品,やくひん,k0267,yakuhin,chemical; drug,health,N3,危険な薬品は注意して扱ってください。,Please handle dangerous chemicals with care.,,noun,,medium,LHHL
voc1063,便利,べんり,k0268,benri,convenient; useful,abstract,N3,スマートフォンはとても便利だ。,Smartphones are very convenient.,,adjective,,very high,LHL
voc1064,不便,ふべん,k0268,fuben,inconvenient,abstract,N3,この地域は交通が不便だ。,Transportation is inconvenient in this area.,,adjective,,high,LHL
voc1065,便乗,びんじょう,k0268,binjo,taking advantage of,abstract,N3,友人の車に便乗させてもらった。,I got a ride in my friend's car.,,noun,,low,LHHL
voc1066,遠い,とおい,k0269,toi,far; distant,position,N3,駅まで遠い。,It's far to the station.,,adjective,,very high,LHL
voc1067,遠足,えんそく,k0269,ensoku,excursion; field trip,action,N3,明日は学校の遠足だ。,Tomorrow is the school excursion.,,noun,,high,LHHL
voc1068,遠慮,えんりょ,k0269,enryo,restraint; hesitation,abstract,N3,遠慮しないでください。,Please don't hold back.,,noun,,very high,LHHL
voc1069,暗い,くらい,k0270,kurai,dark,description,N3,部屋が暗い。電気をつけよう。,The room is dark. Let's turn on the light.,,adjective,,very high,LHL
voc1070,暗記,あんき,k0270,anki,memorization,education,N3,単語を暗記するのが難しい。,Memorizing vocabulary is difficult.,,noun,,high,LHL
voc1071,暗示,あんじ,k0270,anji,hint; suggestion,abstract,N3,彼の言葉には暗示が含まれていた。,His words contained a hint.,,noun,,medium,LHL
voc1072,洗う,あらう,k0271,arau,to wash,action,N3,手を洗ってから食べてください。,Please wash your hands before eating.,,verb,,very high,LHL
voc1073,洗濯,せんたく,k0271,sentaku,laundry; washing,action,N3,週末に洗濯をする。,I do laundry on weekends.,,noun,,very high,LHHL
voc1074,洗面所,せんめんじょ,k0271,senmenjo,washroom; bathroom,place,N3,洗面所で顔を洗った。,I washed my face in the bathroom.,,noun,,high,LHHHL
voc1075,寒い,さむい,k0272,samui,cold,description,N3,今日はとても寒い。,It's very cold today.,,adjective,,very high,LHL
voc1076,寒気,さむけ,k0272,samuke,chill; cold feeling,health,N3,寒気がして熱が出てきた。,I got chills and developed a fever.,,noun,,high,LHL
voc1077,厳寒,げんかん,k0272,genkan,severe cold; bitter cold,nature,N3,厳寒の冬を乗り越えた。,We made it through a bitterly cold winter.,,noun,,low,LHL
voc1078,会議,かいぎ,k0273,kaigi,meeting; conference,society,N3,午後から会議があります。,There is a meeting in the afternoon.,,noun,,very high,LHL
voc1079,議論,ぎろん,k0273,giron,argument; debate,abstract,N3,その問題について議論した。,We debated that issue.,,noun,,high,LHL
voc1080,議会,ぎかい,k0273,gikai,parliament; assembly,society,N3,議会で新しい法律が成立した。,A new law was enacted in parliament.,,noun,,high,LHL
voc1081,連絡,れんらく,k0274,renraku,contact; communication,action,N3,後で連絡します。,I'll contact you later.,,noun,,very high,LHHL
voc1082,連続,れんぞく,k0274,renzoku,series; continuation,abstract,N3,三日連続で雨が降った。,It rained three days in a row.,,noun,,high,LHHL
voc1083,関連,かんれん,k0274,kanren,relation; connection,abstract,N3,その事件に関連した情報を集めた。,I gathered information related to the incident.,also uses k0283,noun,,high,LHHL
voc1084,対象,たいしょう,k0275,taisho,target; object,abstract,N3,子供を対象にしたイベントだ。,This is an event for children.,,noun,,high,LHHL
voc1085,反対,はんたい,k0275,hantai,opposition; opposite,abstract,N3,その意見に反対だ。,I am opposed to that opinion.,also uses k0321,noun,,very high,LHHL
voc1086,絶対,ぜったい,k0275,zettai,absolute; definitely,abstract,N3,絶対に遅れないようにしてください。,Please make sure not to be late.,,adverb,,very high,LHHL
voc1087,部屋,へや,k0276,heya,room,place,N3,部屋を片付けてください。,Please tidy up the room.,,noun,,very high,LH
voc1088,部分,ぶぶん,k0276,bubun,part; portion,abstract,N3,この部分が難しい。,This part is difficult.,,noun,,very high,LHL
voc1089,全部,ぜんぶ,k0276,zenbu,all; everything,abstract,N3,全部食べましたか？,Did you eat everything?,,noun,,very high,LHL
voc1090,内容,ないよう,k0277,naiyo,content; substance,abstract,N3,レポートの内容を確認した。,I checked the content of the report.,,noun,,very high,LHHL
voc1091,国内,こくない,k0277,kokunai,domestic; within the country,abstract,N3,国内旅行が好きだ。,I like domestic travel.,,noun,,high,LHHL
voc1092,内部,ないぶ,k0277,naibu,interior; inside,abstract,N3,建物の内部を調査した。,We investigated the interior of the building.,,noun,,high,LHL
voc1093,相談,そうだん,k0278,sodan,consultation; discussion,action,N3,先生に相談したほうがいい。,You should consult your teacher.,,noun,,very high,LHHL
voc1094,相手,あいて,k0278,aite,partner; opponent,people,N3,相手の気持ちを考えよう。,Let's think about the other person's feelings.,,noun,,very high,LHL
voc1095,首相,しゅしょう,k0278,shusho,prime minister,society,N3,首相が演説を行った。,The prime minister gave a speech.,also uses k0252,noun,,high,LHL
voc1096,決める,きめる,k0279,kimeru,to decide,action,N3,目標を決めることが大切だ。,It's important to decide on your goals.,,verb,,very high,LHL
voc1097,決定,けってい,k0279,kettei,decision,abstract,N3,最終決定はいつ下りますか？,When will the final decision be made?,,noun,,very high,LHHL
voc1098,決心,けっしん,k0279,kesshin,determination; resolution,abstract,N3,転職する決心をした。,I made up my mind to change jobs.,,noun,,high,LHHL
voc1099,選ぶ,えらぶ,k0280,erabu,to choose; to select,action,N3,好きな色を選んでください。,Please choose your favorite color.,,verb,,very high,LHL
voc1100,選手,せんしゅ,k0280,senshu,athlete; player,people,N3,オリンピック選手を目指している。,I'm aiming to become an Olympic athlete.,,noun,,very high,LHL
voc1101,選挙,せんきょ,k0280,senkyo,election,society,N3,来週選挙がある。,There is an election next week.,,noun,,very high,LHHL
voc1102,米,こめ,k0281,kome,rice (uncooked),food,N3,日本では米をよく食べる。,In Japan rice is eaten frequently.,,noun,,very high,LH
voc1103,米国,べいこく,k0281,beikoku,United States,place,N3,米国に留学したい。,I want to study abroad in the United States.,,noun,,very high,LHL
voc1104,玄米,げんまい,k0281,genmai,brown rice,food,N3,健康のために玄米を食べている。,I eat brown rice for my health.,,noun,,medium,LHL
voc1105,実は,じつは,k0282,jitsuwa,actually; to tell the truth,abstract,N3,実は彼が好きだった。,Actually I liked him.,,adverb,,very high,LHL
voc1106,実現,じつげん,k0282,jitsugen,realization; achievement,abstract,N3,夢を実現させたい。,I want to make my dream a reality.,,noun,,high,LHHL
voc1107,果実,かじつ,k0282,kajitsu,fruit,food,N3,果実は甘くておいしい。,Fruit is sweet and delicious.,also uses k0339,noun,,medium,LHL
voc1108,関係,かんけい,k0283,kankei,relationship; connection,abstract,N3,二人の関係はどうですか？,How is the relationship between the two of them?,,noun,,very high,LHL
voc1109,関心,かんしん,k0283,kanshin,interest; concern,abstract,N3,政治に関心がある。,I'm interested in politics.,,noun,,very high,LHL
voc1110,機関,きかん,k0283,kikan,institution; engine,society,N3,政府機関で働いている。,I work at a government institution.,also uses k0301,noun,,high,LHL
voc1111,決断,けつだん,k0284,ketsudan,decision; resolution,abstract,N3,難しい決断を迫られた。,I was forced to make a difficult decision.,,noun,,high,LHHL
voc1112,解決,かいけつ,k0284,kaiketsu,solution; resolution,abstract,N3,問題を解決する方法を考えた。,I thought of a way to solve the problem.,also uses k0471,noun,,very high,LHHL
voc1113,全体,ぜんたい,k0285,zentai,whole; entire,abstract,N3,全体のバランスを考えよう。,Let's think about the overall balance.,,noun,,very high,LHHL
voc1114,全員,ぜんいん,k0285,zenin,all members; everyone,people,N3,全員集まってください。,Please everyone gather together.,,noun,,very high,LHHL
voc1115,完全,かんぜん,k0285,kanzen,perfect; complete,abstract,N3,完全に理解できた。,I was able to understand completely.,also uses k0411,adverb,,very high,LHHL
voc1116,表現,ひょうげん,k0286,hyogen,expression,abstract,N3,自分の気持ちを表現するのが難しい。,It's hard to express my feelings.,,noun,,high,LHHL
voc1117,発表,はっぴょう,k0286,happyo,presentation; announcement,action,N3,明日クラスで発表がある。,I have a presentation in class tomorrow.,,noun,,very high,LHHL
voc1118,表情,ひょうじょう,k0286,hyojo,facial expression,feeling,N3,彼女の表情が気になった。,I was concerned about her facial expression.,,noun,,high,LHHL
voc1119,戦争,せんそう,k0287,senso,war,society,N3,戦争はすべきではない。,War should not happen.,,noun,,very high,LHHL
voc1120,挑戦,ちょうせん,k0287,chosen,challenge,action,N3,新しいことに挑戦するのが好きだ。,I like to challenge myself with new things.,,noun,,very high,LHHL
voc1121,作戦,さくせん,k0287,sakusen,strategy; plan,abstract,N3,試合の作戦を立てた。,We came up with a strategy for the game.,,noun,,high,LHHL
voc1122,最初,さいしょ,k0288,saisho,first; beginning,time,N3,最初から説明してください。,Please explain from the beginning.,,noun,,very high,LHHL
voc1123,最後,さいご,k0288,saigo,last; final,time,N3,最後まで諦めないでください。,Please don't give up until the end.,,noun,,very high,LHHL
voc1124,最高,さいこう,k0288,saiko,best; maximum,abstract,N3,今日は最高の天気だ。,Today's weather is the best.,,noun,,very high,LHHL
voc1125,調べる,しらべる,k0289,shiraberu,to investigate; to check,action,N3,インターネットで調べてみた。,I tried looking it up on the internet.,,verb,,very high,LHHL
voc1126,調子,ちょうし,k0289,choshi,condition; tune,abstract,N3,最近体の調子がよくない。,I haven't been feeling well lately.,,noun,,very high,LHL
voc1127,調整,ちょうせい,k0289,chosei,adjustment; coordination,action,N3,スケジュールを調整する必要がある。,I need to adjust the schedule.,,noun,,high,LHHL
voc1128,変化,へんか,k0290,henka,change; variation,abstract,N3,季節の変化を感じる。,I feel the change of seasons.,,noun,,very high,LHL
voc1129,化学,かがく,k0290,kagaku,chemistry,education,N3,化学の授業が好きだ。,I like chemistry class.,,noun,,very high,LHL
voc1130,文化,ぶんか,k0290,bunka,culture,society,N3,日本の文化に興味がある。,I'm interested in Japanese culture.,,noun,,very high,LHL
voc1131,当然,とうぜん,k0291,tozen,natural; of course,abstract,N3,それは当然のことだ。,That is a matter of course.,,adverb,,very high,LHHL
voc1132,適当,てきとう,k0291,tekito,appropriate; suitable,abstract,N3,適当な答えを選んでください。,Please choose an appropriate answer.,also uses k0539,noun,,high,LHHL
voc1133,当たり前,あたりまえ,k0291,atarimae,natural; obvious,abstract,N3,彼が怒るのは当たり前だ。,It's natural that he is angry.,,noun,,very high,LHHHL
voc1134,約束,やくそく,k0292,yakusoku,promise; appointment,abstract,N3,約束は必ず守ってください。,Please always keep your promises.,,noun,,very high,LHHL
voc1135,予約,よやく,k0292,yoyaku,reservation; booking,action,N3,レストランを予約した。,I made a reservation at the restaurant.,also uses k0316,noun,,very high,LHL
voc1136,約,やく,k0292,yaku,approximately,abstract,N3,約三十分かかります。,It takes about thirty minutes.,,adverb,,very high,H
voc1137,法律,ほうりつ,k0293,horitsu,law,society,N3,法律を守ることが大切だ。,It is important to obey the law.,,noun,,very high,LHHL
voc1138,方法,ほうほう,k0293,hoho,method; way,abstract,N3,もっといい方法はないだろうか。,Is there not a better method?,,noun,,very high,LHHL
voc1139,文法,ぶんぽう,k0293,bunpo,grammar,language,N3,日本語の文法は難しい。,Japanese grammar is difficult.,,noun,,high,LHHL
voc1140,目的,もくてき,k0294,mokuteki,purpose; goal,abstract,N3,旅行の目的は休暇だ。,The purpose of the trip is vacation.,,noun,,very high,LHHL
voc1141,的確,てきかく,k0294,tekikaku,accurate; precise,abstract,N3,的確な判断が必要だ。,An accurate judgment is necessary.,,adjective,,medium,LHHL
voc1142,要る,いる,k0295,iru,to need; to require,abstract,N3,お金が要る。,I need money.,,verb,,very high,H
voc1143,必要,ひつよう,k0295,hitsuyou,necessary; need,abstract,N3,準備が必要です。,Preparation is necessary.,also uses k0340,noun,,very high,LHHL
voc1144,要求,ようきゅう,k0295,yokyu,demand; requirement,abstract,N3,彼の要求は無理だった。,His demands were unreasonable.,,noun,,high,LHHL
voc1145,治る,なおる,k0296,naoru,to heal; to be cured,health,N3,風邪が治った。,My cold has healed.,,verb,,very high,LHL
voc1146,政治,せいじ,k0296,seiji,politics,society,N3,政治に興味がある。,I'm interested in politics.,also uses k0461,noun,,very high,LH
voc1147,自治,じち,k0296,jichi,self-government,society,N3,地方自治は民主主義の基本だ。,Local self-government is the basis of democracy.,,noun,,medium,LH
voc1148,成功,せいこう,k0297,seiko,success,abstract,N3,プロジェクトは成功した。,The project was a success.,,noun,,very high,LHHL
voc1149,成長,せいちょう,k0297,seicho,growth; development,abstract,N3,子供の成長を見守る。,I watch over the growth of my child.,,noun,,very high,LHHL
voc1150,達成,たっせい,k0297,tassei,achievement; accomplishment,abstract,N3,目標を達成した。,I achieved my goal.,also uses k0395,noun,,high,LHHL
voc1151,期間,きかん,k0298,kikan,period; term,time,N3,入院期間は二週間だった。,The hospitalization period was two weeks.,also uses k0283,noun,,very high,LHL
voc1152,定期,ていき,k0298,teiki,regular; fixed period,time,N3,定期的に検診を受けている。,I have regular checkups.,also uses k0279,noun,,high,LHL
voc1153,期待,きたい,k0298,kitai,expectation; hope,feeling,N3,試合の結果に期待している。,I'm looking forward to the result of the match.,,noun,,very high,LHL
voc1154,取る,とる,k0299,toru,to take; to get,action,N3,写真を取るのが好きだ。,I like taking photos.,,verb,,very high,LH
voc1155,取り組む,とりくむ,k0299,torikumu,to tackle; to work on,action,N3,新しいプロジェクトに取り組んでいる。,I'm working on a new project.,,verb,,high,LHHLH
voc1156,受け取る,うけとる,k0299,uketoru,to receive; to accept,action,N3,荷物を受け取った。,I received the package.,also uses k0304,verb,,high,LHHHL
voc1157,和食,わしょく,k0300,washoku,Japanese food,food,N3,和食が大好きです。,I love Japanese food.,,noun,,very high,LHL
voc1158,平和,へいわ,k0300,heiwa,peace,abstract,N3,世界の平和を願っている。,I hope for world peace.,also uses k0302,noun,,very high,LH
voc1159,調和,ちょうわ,k0300,chowa,harmony; balance,abstract,N3,色の調和が大切だ。,Balance of colors is important.,also uses k0289,noun,,medium,LHL
voc1160,機械,きかい,k0301,kikai,machine; machinery,object,N3,工場には多くの機械がある。,There are many machines in the factory.,,noun,,very high,LHL
voc1161,機会,きかい,k0301,kikai,opportunity; chance,abstract,N3,いい機会なので挑戦してみよう。,It's a good opportunity so let's try.,,noun,,very high,LHL
voc1162,飛行機,ひこうき,k0301,hikoki,airplane,object,N3,飛行機で旅行するのが好きだ。,I like to travel by airplane.,also uses k0407,noun,,very high,LHHL
voc1163,平均,へいきん,k0302,heikin,average,abstract,N3,クラスの平均点は七十点だった。,The class average score was 70 points.,,noun,,high,LHHL
voc1164,平日,へいじつ,k0302,heijitsu,weekday,time,N3,平日は毎朝早起きする。,I wake up early every morning on weekdays.,,noun,,very high,LHHL
voc1165,公平,こうへい,k0302,kohei,fair; impartial,abstract,N3,公平に扱ってほしい。,I want to be treated fairly.,,adjective,,high,LHL
voc1166,加える,くわえる,k0303,kuwaeru,to add; to include,action,N3,砂糖を少し加えてください。,Please add a little sugar.,,verb,,very high,LHHL
voc1167,参加,さんか,k0303,sanka,participation,action,N3,イベントに参加しますか？,Will you participate in the event?,also uses k0322,noun,,very high,LHL
voc1168,増加,ぞうか,k0303,zoka,increase,abstract,N3,人口が増加している。,The population is increasing.,also uses k0480,noun,,high,LHL
voc1169,受ける,うける,k0304,ukeru,to receive; to take (exam),action,N3,試験を受ける準備ができている。,I'm ready to take the exam.,,verb,,very high,LHL
voc1170,受付,うけつけ,k0304,uketsuke,reception; front desk,place,N3,受付で名前を書いてください。,Please write your name at the reception.,,noun,,very high,LHHL
voc1171,受験,じゅけん,k0304,juken,taking an exam,education,N3,来年大学受験がある。,I have a university entrance exam next year.,,noun,,very high,LHL
voc1172,続く,つづく,k0305,tsuzuku,to continue; to last,action,N3,雨が三日間続いている。,It has been raining for three days.,,verb,,very high,LHL
voc1173,続ける,つづける,k0305,tsuzukeru,to continue (transitive),action,N3,練習を続けることが大切だ。,It's important to continue practicing.,,verb,,very high,LHHL
voc1174,連続,れんぞく,k0305,renzoku,continuous; consecutive,abstract,N3,五試合連続で勝った。,We won five games in a row.,also uses k0274,noun,,high,LHHL
voc1175,数える,かぞえる,k0306,kazoeru,to count,action,N3,参加者の数を数えた。,I counted the number of participants.,,verb,,very high,LHHL
voc1176,数学,すうがく,k0306,sugaku,mathematics,education,N3,数学が得意ではない。,I'm not good at mathematics.,,noun,,very high,LHHL
voc1177,多数,たすう,k0306,tasu,majority; large number,abstract,N3,多数の人が賛成した。,A large number of people agreed.,,noun,,high,LHL
voc1178,記録,きろく,k0307,kiroku,record; documentation,abstract,N3,世界記録を更新した。,The world record was broken.,,noun,,very high,LHL
voc1179,日記,にっき,k0307,nikki,diary; journal,abstract,N3,毎日日記を書いている。,I write in my diary every day.,,noun,,very high,LHL
voc1180,記念,きねん,k0307,kinen,commemoration; memory,abstract,N3,卒業記念に写真を撮った。,We took a photo to commemorate graduation.,,noun,,very high,LHL
voc1181,初めて,はじめて,k0308,hajimete,for the first time,time,N3,日本に初めて来た。,I came to Japan for the first time.,,adverb,,very high,LHHL
voc1182,最初,さいしょ,k0308,saisho,first; the beginning,time,N3,最初の授業は九時だ。,The first class is at nine o'clock.,also uses k0288,noun,,very high,LHHL
voc1183,初心者,しょしんしゃ,k0308,shoshinsha,beginner,people,N3,初心者向けのコースだ。,This is a course for beginners.,,noun,,high,LHHHL
voc1184,指,ゆび,k0309,yubi,finger,body,N3,指を切ってしまった。,I cut my finger.,,noun,,very high,LH
voc1185,指定,してい,k0309,shitei,designation; specified,abstract,N3,指定の場所に集まってください。,Please gather at the designated place.,,noun,,high,LHL
voc1186,指示,しじ,k0309,shiji,instruction; direction,abstract,N3,先生の指示に従ってください。,Please follow the teacher's instructions.,,noun,,high,LH
voc1187,点数,てんすう,k0310,tensuu,score; points,education,N3,テストの点数が上がった。,My test score went up.,,noun,,very high,LHL
voc1188,観点,かんてん,k0310,kanten,point of view,abstract,N3,違う観点から考えてみよう。,Let's think from a different perspective.,also uses k0388,noun,,high,LHL
voc1189,問題点,もんだいてん,k0310,mondaiten,problem; issue,abstract,N3,問題点を整理した。,I sorted out the issues.,,noun,,high,LHHHL
voc1190,生活,せいかつ,k0311,seikatsu,daily life; living,action,N3,充実した生活を送っている。,I'm living a fulfilling life.,also uses k0021,noun,,very high,LHL
voc1191,活動,かつどう,k0311,katsudo,activity,action,N3,ボランティア活動に参加している。,I participate in volunteer activities.,,noun,,very high,LHHL
voc1192,活用,かつよう,k0311,katsuyo,utilization; conjugation,abstract,N3,スキルを活用する機会を探している。,I'm looking for opportunities to use my skills.,,noun,,high,LHHL
voc1193,原因,げんいん,k0312,genin,cause; reason,abstract,N3,事故の原因を調べた。,I investigated the cause of the accident.,,noun,,very high,LHL
voc1194,原料,げんりょう,k0312,genryo,raw material,object,N3,この製品の原料は何ですか？,What are the raw materials for this product?,,noun,,medium,LHHL
voc1195,高原,こうげん,k0312,kogen,plateau; highland,nature,N3,夏は高原で過ごすのが好きだ。,I like to spend summers on the plateau.,,noun,,medium,LHL
voc1196,共に,ともに,k0313,tomoni,together; along with,abstract,N3,友人と共に旅行した。,I traveled together with my friend.,,adverb,,high,LHL
voc1197,共通,きょうつう,k0313,kyotsu,common; shared,abstract,N3,二人には共通の趣味がある。,The two of them have a common hobby.,,noun,,very high,LHHL
